Country,Year,Area,SafeSanitization,Region
Albania,2017,Total,39.86,Europe
Albania,2017,Urban,40.17,Europe
Albania,2017,Rural,39.39,Europe
Albania,2016,Total,39.85,Europe
Albania,2016,Urban,40.17,Europe
Albania,2016,Rural,39.39,Europe
Albania,2015,Total,39.84,Europe
Albania,2015,Urban,40.17,Europe
Albania,2015,Rural,39.39,Europe
Albania,2014,Total,39.83,Europe
Albania,2014,Urban,40.17,Europe
Albania,2014,Rural,39.39,Europe
Albania,2013,Total,39.6,Europe
Albania,2013,Urban,40.12,Europe
Albania,2013,Rural,38.95,Europe
Albania,2012,Total,39.3,Europe
Albania,2012,Urban,40.09,Europe
Albania,2012,Rural,38.36,Europe
Albania,2011,Total,38.97,Europe
Albania,2011,Urban,40.04,Europe
Albania,2011,Rural,37.77,Europe
Albania,2010,Total,38.64,Europe
Albania,2010,Urban,39.98,Europe
Albania,2010,Rural,37.18,Europe
Albania,2009,Total,38.29,Europe
Albania,2009,Urban,39.93,Europe
Albania,2009,Rural,36.59,Europe
Albania,2008,Total,37.94,Europe
Albania,2008,Urban,39.87,Europe
Albania,2008,Rural,36.0,Europe
Albania,2007,Total,37.62,Europe
Albania,2007,Urban,39.82,Europe
Albania,2007,Rural,35.52,Europe
Albania,2006,Total,37.72,Europe
Albania,2006,Urban,39.76,Europe
Albania,2006,Rural,35.84,Europe
Albania,2005,Total,37.82,Europe
Albania,2005,Urban,39.71,Europe
Albania,2005,Rural,36.16,Europe
Albania,2004,Total,37.93,Europe
Albania,2004,Urban,39.66,Europe
Albania,2004,Rural,36.48,Europe
Albania,2003,Total,38.09,Europe
Albania,2003,Urban,39.69,Europe
Albania,2003,Rural,36.8,Europe
Albania,2002,Total,38.25,Europe
Albania,2002,Urban,39.73,Europe
Albania,2002,Rural,37.12,Europe
Albania,2001,Total,38.43,Europe
Albania,2001,Urban,39.76,Europe
Albania,2001,Rural,37.44,Europe
Albania,2000,Total,38.61,Europe
Albania,2000,Urban,39.8,Europe
Albania,2000,Rural,37.76,Europe
Algeria,2017,Total,17.69,Africa
Algeria,2017,Urban,16.48,Africa
Algeria,2017,Rural,20.79,Africa
Algeria,2016,Total,17.71,Africa
Algeria,2016,Urban,16.48,Africa
Algeria,2016,Rural,20.79,Africa
Algeria,2015,Total,17.74,Africa
Algeria,2015,Urban,16.48,Africa
Algeria,2015,Rural,20.79,Africa
Algeria,2014,Total,17.81,Africa
Algeria,2014,Urban,16.59,Africa
Algeria,2014,Rural,20.68,Africa
Algeria,2013,Total,17.88,Africa
Algeria,2013,Urban,16.7,Africa
Algeria,2013,Rural,20.58,Africa
Algeria,2012,Total,17.94,Africa
Algeria,2012,Urban,16.8,Africa
Algeria,2012,Rural,20.48,Africa
Algeria,2011,Total,18.01,Africa
Algeria,2011,Urban,16.91,Africa
Algeria,2011,Rural,20.37,Africa
Algeria,2010,Total,18.07,Africa
Algeria,2010,Urban,17.01,Africa
Algeria,2010,Rural,20.27,Africa
Algeria,2009,Total,18.13,Africa
Algeria,2009,Urban,17.12,Africa
Algeria,2009,Rural,20.17,Africa
Algeria,2008,Total,18.19,Africa
Algeria,2008,Urban,17.22,Africa
Algeria,2008,Rural,20.06,Africa
Algeria,2007,Total,18.24,Africa
Algeria,2007,Urban,17.33,Africa
Algeria,2007,Rural,19.96,Africa
Algeria,2006,Total,18.29,Africa
Algeria,2006,Urban,17.43,Africa
Algeria,2006,Rural,19.86,Africa
Algeria,2005,Total,18.34,Africa
Algeria,2005,Urban,17.54,Africa
Algeria,2005,Rural,19.75,Africa
Algeria,2004,Total,18.38,Africa
Algeria,2004,Urban,17.64,Africa
Algeria,2004,Rural,19.65,Africa
Algeria,2003,Total,18.43,Africa
Algeria,2003,Urban,17.75,Africa
Algeria,2003,Rural,19.55,Africa
Algeria,2002,Total,18.47,Africa
Algeria,2002,Urban,17.85,Africa
Algeria,2002,Rural,19.44,Africa
Algeria,2001,Total,18.5,Africa
Algeria,2001,Urban,17.96,Africa
Algeria,2001,Rural,19.34,Africa
Algeria,2000,Total,18.53,Africa
Algeria,2000,Urban,18.07,Africa
Algeria,2000,Rural,19.24,Africa
Andorra,2017,Total,100.0,Europe
Andorra,2017,Urban,100.0,Europe
Andorra,2017,Rural,100.0,Europe
Andorra,2016,Total,100.0,Europe
Andorra,2016,Urban,100.0,Europe
Andorra,2016,Rural,100.0,Europe
Andorra,2015,Total,100.0,Europe
Andorra,2015,Urban,100.0,Europe
Andorra,2015,Rural,100.0,Europe
Andorra,2014,Total,100.0,Europe
Andorra,2014,Urban,100.0,Europe
Andorra,2014,Rural,100.0,Europe
Andorra,2013,Total,100.0,Europe
Andorra,2013,Urban,100.0,Europe
Andorra,2013,Rural,100.0,Europe
Andorra,2012,Total,100.0,Europe
Andorra,2012,Urban,100.0,Europe
Andorra,2012,Rural,100.0,Europe
Andorra,2011,Total,93.63,Europe
Andorra,2011,Urban,93.63,Europe
Andorra,2011,Rural,93.63,Europe
Andorra,2010,Total,86.45,Europe
Andorra,2010,Urban,86.45,Europe
Andorra,2010,Rural,86.45,Europe
Andorra,2009,Total,79.27,Europe
Andorra,2009,Urban,79.27,Europe
Andorra,2009,Rural,79.27,Europe
Andorra,2008,Total,72.08,Europe
Andorra,2008,Urban,72.08,Europe
Andorra,2008,Rural,72.08,Europe
Andorra,2007,Total,64.9,Europe
Andorra,2007,Urban,64.9,Europe
Andorra,2007,Rural,64.9,Europe
Andorra,2006,Total,57.71,Europe
Andorra,2006,Urban,57.71,Europe
Andorra,2006,Rural,57.71,Europe
Andorra,2005,Total,50.53,Europe
Andorra,2005,Urban,50.53,Europe
Andorra,2005,Rural,50.53,Europe
Andorra,2004,Total,43.34,Europe
Andorra,2004,Urban,43.34,Europe
Andorra,2004,Rural,43.34,Europe
Andorra,2003,Total,36.16,Europe
Andorra,2003,Urban,36.16,Europe
Andorra,2003,Rural,36.16,Europe
Andorra,2002,Total,28.97,Europe
Andorra,2002,Urban,28.97,Europe
Andorra,2002,Rural,28.97,Europe
Andorra,2001,Total,21.79,Europe
Andorra,2001,Urban,21.79,Europe
Andorra,2001,Rural,21.79,Europe
Andorra,2000,Total,14.6,Europe
Andorra,2000,Urban,14.6,Europe
Andorra,2000,Rural,14.6,Europe
Armenia,2017,Total,48.22,Asia
Armenia,2017,Urban,45.26,Asia
Armenia,2016,Total,48.3,Asia
Armenia,2016,Urban,45.41,Asia
Armenia,2015,Total,48.32,Asia
Armenia,2015,Urban,45.48,Asia
Armenia,2014,Total,48.28,Asia
Armenia,2014,Urban,45.48,Asia
Armenia,2013,Total,48.25,Asia
Armenia,2013,Urban,45.48,Asia
Armenia,2012,Total,48.21,Asia
Armenia,2012,Urban,45.48,Asia
Armenia,2011,Total,48.17,Asia
Armenia,2011,Urban,45.48,Asia
